what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1272081311317
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1272081311318
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1272081311320
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1272081311320
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1272081311329
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1272081311343
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1272081311345
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1272081311353
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1272081311355
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1272081311356
started,bundle,com.perforce.p4api,2009.1.211156,"com.perforce.p4api",1272081311356
started,bundle,com.perforce.team.core,2009.1.211156,"com.perforce.team.core",1272081311356
started,bundle,com.perforce.team.ui,2009.1.211156,"com.perforce.team.ui",1272081311357
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1272081311357
started,bundle,org.eclipse.ecf,3.1.0.v20100219-1253,"org.eclipse.ecf",1272081311357
started,bundle,org.eclipse.ecf.filetransfer,3.1.0.v20100219-1253,"org.eclipse.ecf.filetransfer",1272081311359
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100219-1253,"org.eclipse.ecf.identity",1272081311360
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20100219-1253,"org.eclipse.ecf.provider.filetransfer",1272081311361
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100219-1253,"org.eclipse.ecf.provider.filetransfer.httpclient",1272081311362
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1272081311363
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1272081311365
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1272081311367
